hour,plan_spend,fact_spend,plan_kpi,fact_kpi,top_cap,top_spend
0,2420.47,2420.36,4.028,5,1500.27,1500.27
1,4919.49,4906.34,8.183,10,1538.47,1538.40
2,7411.48,7408.90,12.323,13,1559.99,1559.98
3,9928.48,9911.31,16.500,16,1479.23,1479.18
4,12454.35,12386.04,20.688,20,1290.27,1290.25
5,14984.08,14865.38,24.877,24,1120.93,1120.91
6,17572.99,17445.71,29.156,29,925.50,925.49
7,20261.71,20178.92,33.594,33,937.87,937.84
8,23028.41,23038.31,38.151,36,841.89,841.85
9,25909.32,26078.88,42.885,43,743.94,743.88
10,28721.84,29041.14,47.484,47,718.69,718.65
11,31440.67,31923.02,51.919,54,688.44,688.39
12,33943.91,34545.49,55.995,61,659.17,659.14
13,36270.38,36963.53,59.783,67,648.59,648.57
14,38452.83,39231.17,63.348,73,664.95,664.92
15,40499.03,41316.71,66.701,79,695.77,695.68
16,42432.98,43277.85,69.886,83,692.38,692.32
17,44315.20,45173.83,72.993,93,703.49,703.46
18,46281.84,47124.18,76.250,96,780.94,780.91
19,48272.96,49084.54,79.555,100,833.75,833.73
20,50353.73,51113.51,83.011,103,914.34,914.32
21,52526.23,53205.31,86.624,106,972.06,972.00
22,54802.55,55383.55,90.411,106,1107.87,1107.86
23,57142.86,57620.53,94.304,110,1140.62,1140.61
24,59563.33,59916.36,98.332,112,1226.01,1226.00
25,62062.34,62340.37,102.487,114,1435.22,1435.20
26,64554.34,64723.86,106.627,118,1315.93,1315.92
27,67071.34,67175.45,110.805,122,1382.67,1382.67
28,69597.20,69648.99,114.992,132,1328.80,1328.80
29,72126.93,72137.23,119.181,134,1216.04,1215.98
30,74715.84,74712.39,123.460,139,1063.62,1063.60
31,77404.56,77434.08,127.898,143,937.83,937.81
32,80171.27,80273.54,132.455,148,876.67,876.63
33,83052.17,83273.38,137.190,156,801.35,801.32
34,85864.70,86270.50,141.788,161,705.25,705.22
35,88583.52,89146.45,146.223,165,706.30,706.29
36,91086.76,91832.44,150.299,167,634.49,634.49
37,93413.24,94316.45,154.087,171,625.59,625.56
38,95595.69,96605.00,157.652,173,660.06,660.04
39,97641.88,98715.79,161.005,176,665.15,665.13
40,99575.83,100686.91,164.190,180,656.97,656.96
41,101458.06,102580.79,167.297,183,707.48,707.48
