hour,plan_spend,fact_spend,plan_kpi,fact_kpi,top_cap,top_spend
0,2650.81,2649.43,9.604,11,2133.86,2132.58
1,5540.70,5570.89,20.078,25,2424.89,2424.14
2,8592.46,8676.89,31.135,43,2611.50,2610.81
3,11743.63,11870.31,42.544,58,2652.06,2649.28
4,15035.44,15201.13,54.450,68,2736.44,2734.81
5,18397.67,18587.37,66.599,83,2721.32,2720.24
6,21684.95,21873.24,78.454,96,2503.79,2501.53
7,24812.75,25001.30,89.705,119,2332.00,2331.30
8,27707.81,27887.12,100.090,133,2122.81,2121.71
9,30289.85,30435.17,109.306,143,1783.40,1781.82
10,32584.99,32687.34,117.478,151,1531.35,1529.35
11,34658.86,34728.03,124.841,159,1300.09,1299.32
12,36529.36,36563.50,131.466,168,1125.38,1123.08
13,38305.87,38310.42,137.762,176,1077.42,1076.77
14,39999.99,39974.51,143.772,180,1050.63,1049.62
15,41633.24,41582.04,149.578,186,1047.84,1047.22
16,43251.22,43178.90,155.343,191,1079.64,1079.50
17,44891.01,44803.41,161.204,203,1148.93,1147.71
18,46585.49,46494.32,167.279,209,1207.35,1206.52
19,48369.29,48276.24,173.690,214,1321.25,1319.45
20,50302.42,50211.03,180.659,220,1471.79,1471.78
21,52396.15,52307.42,188.221,225,1638.67,1637.41
22,54650.94,54558.76,196.378,237,1776.10,1773.84
23,57142.86,57060.21,205.401,244,2020.89,2020.68
24,59793.67,59717.21,215.004,253,2151.00,2150.95
25,62683.55,62625.00,225.479,262,2391.52,2389.38
26,65735.32,65696.38,236.536,271,2520.92,2517.98
27,68886.49,68867.71,247.944,275,2580.11,2578.52
28,72178.29,72175.81,259.850,287,2651.96,2651.51
29,75540.53,75545.55,271.999,298,2651.26,2650.58
30,78827.81,78842.32,283.854,314,2556.44,2556.16
31,81955.61,81971.37,295.105,322,2358.87,2357.64
32,84850.67,84864.00,305.490,335,2065.01,2064.61
33,87432.70,87436.52,314.706,349,1722.02,1721.34
34,89727.85,89733.38,322.879,358,1450.41,1449.80
35,91801.72,91809.29,330.241,369,1252.47,1252.07
36,93672.21,93658.78,336.867,375,1112.28,1111.96
37,95448.72,95410.06,343.162,376,1073.14,1073.03
38,97142.85,97084.59,349.172,385,1037.76,1037.00
39,98776.09,98693.52,354.978,393,1046.00,1045.55
