hour,plan_spend,fact_spend,plan_kpi,fact_kpi,top_cap,top_spend
0,1866.01,1865.83,2.753,2,604.43,604.41
1,4038.97,4059.11,5.911,6,609.26,609.21
2,6507.06,6571.44,9.470,13,617.17,617.12
3,9208.84,9341.04,13.366,16,648.18,648.16
4,12118.74,12288.03,17.593,22,768.46,768.46
5,15143.38,15338.51,22.031,30,887.43,887.42
6,18192.96,18390.88,26.585,33,997.71,997.64
7,21299.28,21493.89,31.295,40,1106.44,1106.40
8,24416.25,24609.11,36.084,43,1197.80,1197.76
9,27542.36,27721.66,40.984,47,1271.42,1271.36
10,30538.57,30708.86,45.710,51,1299.01,1298.97
11,33435.43,33615.13,50.328,56,1410.72,1410.72
12,36146.46,36324.81,54.700,60,1357.86,1357.79
13,38734.50,38929.64,58.864,64,1331.29,1331.25
14,41117.79,41323.24,62.701,67,1207.99,1207.93
15,43315.00,43527.23,66.214,71,1068.56,1068.51
16,45353.58,45571.31,69.444,74,951.76,951.68
17,47240.95,47462.15,72.397,81,834.62,834.62
18,49003.15,49232.40,75.126,84,782.06,782.03
19,50665.03,50900.05,77.684,86,693.87,693.86
20,52273.14,52512.38,80.134,88,654.57,654.47
21,53857.01,54102.65,82.541,91,634.48,634.47
22,55443.49,55686.76,84.935,93,629.18,629.18
23,57142.86,57388.72,87.478,96,627.06,627.06
24,59008.86,59253.81,90.232,98,632.40,632.32
25,61181.83,61425.15,93.389,104,670.10,670.07
26,63649.92,63958.76,96.948,108,602.13,602.06
27,66351.70,66740.94,100.845,110,627.61,627.58
28,69261.60,69742.39,105.071,113,664.43,664.37
29,72286.23,72807.86,109.509,118,801.38,801.34
30,75335.82,75886.14,114.063,122,830.22,830.19
31,78442.14,78990.40,118.773,128,1077.11,1077.07
32,81559.11,82104.01,123.562,134,1159.84,1159.79
33,84685.22,85203.90,128.462,141,1194.16,1194.16
34,87681.43,88185.71,133.188,146,1262.41,1262.35
35,90578.29,91056.00,137.806,152,1241.92,1241.86
36,93289.32,93703.11,142.178,155,1160.03,1160.03
37,95877.36,96222.43,146.342,157,1069.15,1069.14
38,98260.64,98553.42,150.179,160,1013.04,1012.96
39,100457.86,100711.52,153.692,162,912.76,912.74
40,102496.43,102724.27,156.922,168,823.71,823.65
41,104383.81,104597.04,159.875,168,712.77,712.68
42,106146.01,106356.92,162.605,171,639.23,639.15
43,107807.89,108021.90,165.163,174,597.51,597.48
44,109415.99,109641.46,167.612,176,555.47,555.41
45,110999.87,111239.76,170.020,178,538.28,538.19
46,112586.35,112843.30,172.413,184,505.40,505.32
47,114285.71,114567.60,174.957,185,518.90,518.88
48,116151.72,116456.92,177.710,186,531.64,531.57
49,118324.68,118688.58,180.867,191,541.81,541.78
50,120792.78,121238.33,184.427,196,565.60,565.60
51,123494.55,124007.29,188.323,201,648.50,648.42
52,126404.45,126986.50,192.549,208,707.49,707.47
53,129429.09,130058.92,196.988,218,800.56,800.56
54,132478.68,133136.24,201.541,222,870.77,870.66
55,135584.99,136258.09,206.251,228,912.77,912.65
56,138701.96,139367.90,211.041,231,980.48,980.43
57,141828.07,142456.18,215.940,239,1118.99,1118.91
58,144824.29,145399.47,220.666,243,1064.07,1064.02
59,147721.14,148231.27,225.285,246,1076.76,1076.69
60,150432.17,150881.85,229.656,250,1148.46,1148.37
61,153020.22,153415.25,233.820,254,1139.48,1139.47
62,155403.50,155750.19,237.658,256,1042.69,1042.63
63,157600.71,157892.95,241.170,259,834.48,834.43
64,159639.29,159898.69,244.401,261,774.21,774.21
65,161526.67,161764.74,247.354,267,672.91,672.84
66,163288.87,163514.34,250.083,270,578.44,578.39
67,164950.74,165169.78,252.641,272,565.77,565.76
68,166558.85,166783.28,255.091,276,496.87,496.85
69,168142.73,168375.16,257.498,282,485.50,485.47
70,169729.20,169974.78,259.892,285,474.57,474.52
71,171428.57,171706.92,262.435,287,490.97,490.96
72,173294.58,173619.27,265.188,290,498.46,498.42
73,175467.54,175863.15,268.346,294,532.60,532.56
74,177935.63,178410.24,271.905,298,585.80,585.74
75,180637.41,181182.59,275.801,301,641.99,641.97
76,183547.31,184164.42,280.027,306,703.93,703.89
77,186571.95,187255.14,284.466,312,776.69,776.67
78,189621.53,190350.47,289.020,320,850.37,850.26
79,192727.85,193473.18,293.730,326,962.98,962.89
80,195844.82,196581.30,298.519,332,1002.09,1002.04
81,198970.93,199674.07,303.419,335,1146.67,1146.65
82,201967.15,202622.67,308.145,337,1093.56,1093.45
83,204864.00,205456.39,312.763,346,1101.16,1101.14
84,207575.03,208087.10,317.135,354,1188.16,1188.13
85,210163.08,210627.19,321.299,355,1311.42,1311.39
86,212546.36,212993.40,325.136,356,1322.42,1322.41
87,214743.57,215155.39,328.649,359,1027.85,1027.79
88,216782.15,217167.74,331.879,360,844.88,844.87
89,218669.53,219031.17,334.832,365,654.56,654.48
90,220431.73,220779.21,337.561,367,565.65,565.59
91,222093.60,222435.72,340.119,371,519.54,519.47
92,223701.71,224051.19,342.569,372,463.81,463.76
93,225285.58,225646.41,344.976,377,451.47,451.43
94,226872.06,227252.73,347.370,380,435.80,435.72
95,228571.43,228986.44,349.913,384,448.21,448.16
96,230437.43,230905.50,352.666,386,457.93,457.92
97,232610.40,233162.90,355.824,391,490.48,490.41
98,235078.49,235715.32,359.383,392,566.08,566.01
99,237780.27,238502.36,363.280,396,617.93,617.84
100,240690.17,241482.10,367.506,399,711.17,711.13
101,243714.81,244587.96,371.944,406,732.00,731.96
102,246764.39,247701.51,376.498,409,712.80,712.79
103,249870.71,250829.98,381.208,417,858.09,858.08
104,252987.68,253933.68,385.997,422,804.32,804.27
105,256113.79,256998.80,390.897,428,977.11,977.03
106,259110.00,259929.14,395.623,431,1000.46,1000.35
107,262006.86,262749.70,400.241,439,1021.99,1021.88
108,264717.89,265437.99,404.613,443,1112.72,1112.64
109,267305.93,267960.76,408.777,445,975.27,975.20
110,269689.22,270288.52,412.614,449,931.57,931.54
111,271886.43,272451.02,416.127,450,864.75,864.73
112,273925.01,274450.20,419.357,452,736.44,736.43
113,275812.38,276312.48,422.310,456,657.27,657.26
114,277574.58,278060.14,425.039,461,643.17,643.15
115,279236.46,279709.00,427.597,469,607.84,607.80
116,280844.56,281316.59,430.047,469,619.10,619.02
117,282428.44,282878.26,432.453,471,551.61,551.58
118,284014.92,284446.01,434.842,476,537.03,537.03
119,285714.29,286075.73,437.379,477,809.00,808.98
120,287580.29,287884.23,440.123,480,719.21,719.21
121,289753.25,289976.44,443.268,485,748.35,748.30
122,292221.35,292406.79,446.811,489,726.83,726.82
123,294923.13,295111.08,450.685,492,758.63,758.53
124,297833.03,298050.69,454.882,496,836.89,836.80
125,300857.66,301125.12,459.283,501,887.64,887.59
126,303907.25,304229.23,463.788,504,948.37,948.28
127,307013.56,307360.66,468.436,512,1072.65,1072.57
128,310130.54,310473.42,473.150,516,1146.43,1146.42
129,313256.65,313593.71,477.955,519,1295.43,1295.33
130,316252.86,316585.68,482.577,523,1288.99,1288.94
131,319149.72,319476.29,487.077,531,1251.42,1251.41
132,321860.75,322194.82,491.320,534,1223.40,1223.35
133,324448.79,324788.03,495.353,538,1138.35,1138.25
134,326832.07,327166.48,499.058,542,1048.94,1048.94
135,329029.28,329354.73,502.445,545,909.01,908.97
136,331067.86,331384.86,505.556,549,836.31,836.29
137,332955.24,333257.28,508.399,553,739.52,739.52
138,334717.44,335001.46,511.026,557,690.65,690.61
139,336379.31,336639.73,513.487,561,598.81,598.76
140,337987.42,338218.17,515.844,563,553.97,553.95
141,339571.30,339771.40,518.159,567,555.70,555.70
142,341157.78,341328.66,520.461,570,547.28,547.27
143,342857.14,342994.65,522.907,571,549.56,549.52
144,344723.15,344838.25,525.559,573,559.31,559.28
145,346896.11,346983.33,528.606,573,611.36,611.30
146,349364.21,349438.61,532.041,576,664.16,664.13
147,352065.98,352171.93,535.799,581,709.49,709.45
148,354975.88,355136.95,539.866,585,804.64,804.64
149,358000.52,358224.36,544.124,592,886.02,886.00
150,361050.11,361342.26,548.472,597,903.77,903.67
151,364156.42,364485.32,552.947,601,986.01,985.91
152,367273.39,367595.70,557.477,607,1064.81,1064.80
153,370399.50,370700.58,562.081,616,1206.80,1206.71
154,373395.72,373685.24,566.505,620,1245.59,1245.54
155,376292.57,376581.41,570.808,623,1278.61,1278.61
156,379003.60,379290.64,574.859,624,1221.54,1221.52
157,381591.65,381879.35,578.710,630,1152.56,1152.55
158,383974.93,384272.21,582.249,635,1102.59,1102.59
159,386172.14,386464.21,585.487,640,954.33,954.28
160,388210.72,388503.00,588.465,644,885.75,885.69
161,390098.10,390383.78,591.193,644,794.13,794.08
162,391860.30,392134.51,593.716,646,708.62,708.61
163,393522.17,393781.19,596.083,649,628.89,628.80
164,395130.28,395375.48,598.353,652,563.23,563.19
165,396714.16,396950.21,600.583,654,546.33,546.32
166,398300.63,398529.64,602.803,655,528.58,528.58
167,400000.00,400218.29,605.166,656,560.94,560.93
168,401866.01,402076.42,607.732,662,573.12,573.02
169,404038.97,404237.65,610.688,666,612.67,612.66
170,406507.06,406724.25,614.025,670,643.49,643.48
171,409208.84,409475.72,617.676,676,680.44,680.40
172,412118.74,412463.09,621.624,679,709.37,709.31
173,415143.38,415528.55,625.751,681,832.58,832.49
174,418192.96,418601.20,629.955,686,928.99,928.90
175,421299.28,421716.27,634.274,689,961.36,961.34
176,424416.25,424827.37,638.637,691,1056.90,1056.81
177,427542.36,427923.59,643.061,695,1163.89,1163.84
178,430538.57,430843.13,647.308,701,932.47,932.46
