hour,plan_spend,fact_spend,plan_kpi,fact_kpi
0,1548.73,1709.00,6.766,4
1,3113.63,3134.52,13.539,9
2,4732.51,4885.18,20.614,18
3,6457.87,6785.99,28.152,23
4,8216.67,8466.24,36.036,26
5,10045.32,9986.50,44.358,38
6,11991.66,12010.70,53.394,41
7,14141.90,14081.81,63.480,50
8,16490.63,16455.14,74.552,62
9,19033.59,19252.08,86.511,70
10,21796.92,22407.61,99.381,86
11,24688.52,25652.58,112.852,94
12,27641.55,29018.65,126.478,109
13,30557.79,31929.00,140.019,116
14,33284.72,35044.18,152.746,128
15,35850.79,37835.42,164.853,137
16,38153.31,40474.04,175.774,146
17,40229.46,42854.23,185.640,151
18,42106.93,44840.02,194.523,161
19,43856.36,46552.62,202.751,165
20,45487.53,48415.77,210.359,170
21,47078.60,50193.66,217.712,179
22,48604.08,51642.89,224.590,185
23,50127.24,52939.12,231.348,189
24,51675.97,54262.18,238.114,192
25,53240.86,55932.66,244.886,198
26,54859.75,57489.19,251.962,202
27,56585.10,59383.54,259.499,204
28,58343.90,61108.59,267.383,213
29,60172.56,63099.96,275.706,221
30,62118.90,65282.36,284.742,234
31,64269.14,67482.27,294.827,245
32,66617.86,69845.70,305.899,252
33,69160.82,72755.00,317.858,262
34,71924.15,75910.54,330.729,274
35,74815.75,79212.77,344.200,294
36,77768.79,82578.86,357.826,308
37,80685.03,85907.06,371.366,318
38,83411.95,89022.26,384.094,328
39,85978.02,91869.54,396.201,335
40,88280.54,94508.23,407.121,344
41,90356.70,96729.70,416.988,357
42,92234.17,98792.55,425.870,362
43,93983.59,100763.53,434.099,365
44,95614.76,102592.90,441.706,366
45,97205.83,104273.35,449.060,368
46,98731.32,105868.63,455.937,375
47,100254.47,107398.11,462.695,381
48,101803.21,108977.90,469.461,388
49,103368.10,110740.45,476.234,394
50,104986.98,112409.26,483.309,398
51,106712.34,114287.13,490.847,403
52,108471.14,116280.98,498.731,414
53,110299.79,118149.75,507.053,424
54,112246.15,120370.92,516.063,432
55,114396.61,122771.19,526.066,439
56,116746.01,125459.57,536.980,451
57,119290.55,128368.91,548.691,467
58,122056.89,131524.46,561.208,488
59,124953.55,134826.67,574.212,509
60,127914.15,138192.80,587.265,519
61,130840.89,141520.97,600.136,532
62,133580.88,144636.18,612.138,542
63,136162.69,147422.33,623.470,558
64,138482.52,149825.68,633.619,568
65,140577.06,152205.82,642.732,571
66,142473.40,154023.69,650.891,580
67,144242.31,155639.44,658.416,582
68,145893.26,157259.60,665.344,590
69,147505.03,158897.68,672.016,598
70,149051.16,160168.45,678.242,601
71,150595.85,161723.52,684.344,607
72,152167.37,163343.59,690.440,616
73,153756.38,164829.17,696.525,624
74,155402.17,166408.59,702.856,633
75,157157.96,168015.63,709.579,637
76,158951.15,169807.52,716.571,643
77,160818.83,171886.52,723.915,651
78,162810.90,174107.74,731.843,659
79,165016.11,176299.90,740.644,670
80,167429.97,178793.75,750.251,678
81,170048.86,181703.14,760.572,693
82,172900.20,184858.66,771.622,709
83,175891.71,188132.38,783.114,723
84,178953.69,191498.50,794.672,739
85,181987.29,194640.08,806.075,750
86,184833.24,197755.34,816.717,762
87,187520.96,200692.95,826.768,773
88,189940.37,202879.00,835.776,785
89,192127.95,204976.30,843.870,795
90,194110.18,207031.09,851.126,804
91,195960.31,208724.75,857.826,808
92,197687.54,210089.00,864.003,812
93,199374.02,211443.98,869.960,821
94,200990.19,212859.40,875.532,824
95,202604.08,214404.51,881.003,832
96,204245.20,215791.36,886.477,836
97,205904.39,217287.16,891.949,841
98,207624.89,218735.69,897.642,849
99,209461.28,220546.33,903.690,856
100,211341.23,222240.46,909.973,857
101,213302.57,223748.79,916.568,865
102,215398.89,225593.63,923.682,870
103,217722.83,227766.82,931.580,876
104,220269.41,229899.74,940.206,891
105,223033.76,232809.13,949.482,911
106,226043.36,235896.35,959.432,926
107,229203.21,239198.59,969.790,936
108,232437.24,242178.37,980.226,949
109,235644.92,245199.43,990.531,964
110,238657.17,248143.00,1000.155,975
111,241505.88,251080.66,1009.247,986
112,244072.43,253719.24,1017.401,991
113,246394.23,255997.10,1024.734,998
114,248497.87,257981.19,1031.315,1004
115,250460.81,259836.41,1037.398,1012
116,252292.40,261617.63,1043.014,1017
117,254079.70,263229.42,1048.437,1021
118,255789.22,264775.07,1053.520,1032
119,257494.29,266053.99,1058.520,1035
120,259226.17,267801.35,1063.531,1038
121,260975.96,269563.88,1068.546,1038
122,262791.95,271390.50,1073.762,1041
123,264730.35,273165.33,1079.307,1044
124,266718.96,274976.17,1085.060,1050
125,268796.34,276809.88,1091.096,1052
126,271017.60,278977.98,1097.595,1057
127,273476.45,281436.79,1104.792,1070
128,276164.88,283901.16,1112.635,1079
129,279074.30,286810.51,1121.053,1083
130,282229.93,289682.42,1130.068,1100
131,285532.18,292984.60,1139.431,1108
132,288898.36,296205.84,1148.851,1118
133,292226.62,299532.78,1158.124,1125
134,295341.92,302648.05,1166.763,1133
135,298279.63,305536.45,1174.899,1146
136,300918.34,308175.07,1182.178,1154
137,303298.55,310528.85,1188.711,1159
138,305449.07,312679.32,1194.568,1163
139,307450.68,314680.85,1199.977,1165
