hour,plan_spend,fact_spend,plan_kpi,fact_kpi
0,1980.80,1980.21,3.405,4
1,4090.75,4089.06,6.987,9
2,6363.14,6361.01,10.804,18
3,8822.30,8819.13,14.904,22
4,11476.96,11471.94,19.328,28
5,14316.32,14310.36,24.090,42
6,17309.71,17302.66,29.180,46
7,20409.49,20400.07,34.552,57
8,23555.96,23545.51,40.126,67
9,26683.27,26672.07,45.788,74
10,29726.20,29713.39,51.401,88
11,32627.76,32614.55,56.826,93
12,35346.81,35333.29,61.945,103
13,37863.74,37847.84,66.685,106
14,40181.93,40163.64,71.026,113
15,42324.19,42303.76,74.999,119
16,44325.30,44303.02,78.666,124
17,46223.41,46200.62,82.108,127
18,48055.77,48030.84,85.400,136
19,49851.21,49824.18,88.604,139
20,51635.53,51606.23,91.771,143
21,53429.72,53399.75,94.938,151
22,55256.07,55225.25,98.141,157
23,57142.86,57109.90,101.420,161
24,59123.66,59088.83,104.825,164
25,61233.60,61197.62,108.407,169
26,63506.00,63469.61,112.224,173
27,65965.16,65927.24,116.324,173
28,68619.82,68580.79,120.748,184
29,71459.18,71418.31,125.510,191
30,74452.57,74410.60,130.600,205
31,77552.35,77508.53,135.972,216
32,80698.81,80652.36,141.546,223
33,83826.13,83777.12,147.208,230
34,86869.06,86819.97,152.821,239
35,89770.61,89720.23,158.246,254
36,92489.67,92437.86,163.365,263
37,95006.60,94954.26,168.105,268
38,97324.79,97271.91,172.446,274
39,99467.05,99413.71,176.419,277
40,101468.16,101413.98,180.086,282
41,103366.27,103309.88,183.528,291
42,105198.63,105142.08,186.820,295
43,106994.07,106935.09,190.024,297
44,108778.39,108717.53,193.191,298
45,110572.58,110509.67,196.358,300
46,112398.92,112333.23,199.561,307
47,114285.71,114218.67,202.840,311
48,116266.52,116197.03,206.245,318
49,118376.46,118304.43,209.827,323
50,120648.85,120574.63,213.643,325
51,123108.01,123032.85,217.744,330
52,125762.68,125685.78,222.168,339
53,128602.04,128525.04,226.930,351
54,131595.42,131517.40,232.020,358
55,134695.20,134615.66,237.392,365
56,137841.67,137762.02,242.966,374
57,140968.98,140886.79,248.628,386
58,144011.91,143929.29,254.241,402
59,146913.47,146829.53,259.666,417
60,149632.52,149546.77,264.785,426
61,152149.45,152063.14,269.525,434
62,154467.65,154379.11,273.866,440
63,156609.91,156520.56,277.838,452
64,158611.02,158519.04,281.506,459
65,160509.12,160416.12,284.948,461
66,162341.49,162245.69,288.240,469
67,164136.93,164039.49,291.444,471
68,165921.25,165822.96,294.611,479
69,167715.43,167616.85,297.778,485
70,169541.78,169440.50,300.981,489
71,171428.57,171325.13,304.260,497
72,173409.37,173303.48,307.664,505
73,175519.32,175412.88,311.247,512
74,177791.71,177683.60,315.063,520
75,180250.87,180141.39,319.164,524
76,182905.53,182795.30,323.587,530
77,185744.89,185632.95,328.350,538
78,188738.28,188624.26,333.439,546
79,191838.06,191722.78,338.812,555
80,194984.53,194868.01,344.386,565
81,198111.84,197992.51,350.048,577
82,201154.77,201034.10,355.661,593
83,204056.33,203933.01,361.086,603
84,206775.38,206650.55,366.205,613
85,209292.31,209164.69,370.945,620
86,211610.50,211482.51,375.286,627
87,213752.76,213624.66,379.258,633
88,215753.87,215624.23,382.926,644
89,217651.98,217521.29,386.368,651
90,219484.34,219352.01,389.653,658
91,221279.78,221147.12,392.845,661
92,223064.10,222928.61,395.994,664
93,224858.29,224721.48,399.138,674
94,226684.64,226547.71,402.311,676
95,228571.43,228433.13,405.556,683
96,230552.23,230412.45,408.920,687
97,232662.17,232519.44,412.456,692
98,234934.57,234789.41,416.218,701
99,237393.73,237247.24,420.257,706
100,240048.39,239901.65,424.606,710
101,242887.75,242738.65,429.278,720
102,245881.14,245729.55,434.258,725
103,248980.92,248826.82,439.495,730
104,252127.39,251971.80,444.904,745
105,255254.70,255097.14,450.369,761
106,258297.63,258137.72,455.757,772
107,261199.19,261038.93,460.936,777
108,263918.24,263756.76,465.798,787
109,266435.17,266273.24,470.281,798
110,268753.36,268589.54,474.375,805
111,270895.62,270731.67,478.113,812
112,272896.73,272731.18,481.562,815
113,274794.84,274627.61,484.795,819
114,276627.20,276458.74,487.886,823
115,278422.64,278253.65,490.893,828
116,280206.96,280035.69,493.861,831
117,282001.15,281829.73,496.828,834
118,283827.50,283655.28,499.826,843
119,285714.29,285539.59,502.895,847
120,287695.09,287519.86,506.084,850
121,289805.03,289628.98,509.442,853
122,292077.43,291900.66,513.023,857
123,294536.58,294357.67,516.872,861
124,297191.25,297009.89,521.019,868
125,300030.61,299849.16,525.472,872
126,303024.00,302842.16,530.208,877
127,306123.77,305939.92,535.174,889
128,309270.24,309084.45,540.286,898
129,312397.55,312210.38,545.434,901
130,315440.49,315251.30,550.495,915
131,318342.04,318151.84,555.350,922
132,321061.10,320870.87,559.904,929
133,323578.03,323387.44,564.104,934
134,325896.22,325704.67,567.944,940
135,328038.48,327845.51,571.458,950
136,330039.59,329845.71,574.706,955
137,331937.69,331742.83,577.758,960
138,333770.06,333573.49,580.681,963
139,335565.50,335368.73,583.527,967
140,337349.82,337152.48,586.341,971
141,339144.01,338945.17,589.156,974
142,340970.35,340770.39,592.004,979
143,342857.14,342655.09,594.924,982
144,344837.94,344633.45,597.964,985
145,346947.89,346741.46,601.172,989
146,349220.28,349012.25,604.600,991
147,351679.44,351470.00,608.290,997
148,354334.11,354123.71,612.268,1007
149,357173.47,356960.83,616.536,1013
150,360166.85,359953.28,621.069,1020
151,363266.63,363052.77,625.810,1024
152,366413.10,366196.56,630.676,1030
153,369540.41,369323.32,635.562,1045
154,372583.34,372365.61,640.354,1055
155,375484.90,375266.13,644.942,1066
156,378203.95,377982.88,649.244,1069
157,380720.88,380497.87,653.213,1074
158,383039.07,382814.52,656.846,1078
159,385181.33,384954.88,660.177,1085
160,387182.44,386955.41,663.262,1094
161,389080.55,388852.30,666.167,1097
162,390912.92,390683.75,668.953,1102
163,392708.36,392477.36,671.670,1108
164,394492.67,394261.47,674.358,1113
165,396286.86,396053.37,677.050,1116
166,398113.21,397879.59,679.777,1123
167,400000.00,399764.21,682.577,1129
168,401980.80,401743.89,685.496,1135
169,404090.75,403852.24,688.583,1142
170,406363.14,406124.33,691.887,1149
171,408822.30,408582.68,695.448,1154
172,411476.96,411236.30,699.290,1162
173,414316.32,414073.27,703.410,1171
174,417309.71,417063.96,707.779,1179
175,420409.49,420162.35,712.339,1190
176,423555.96,423306.89,717.006,1203
177,426683.27,426432.57,721.681,1217
178,429726.20,429473.97,726.256,1229
179,432627.76,432373.37,730.631,1241
180,435346.81,435090.65,734.729,1248
181,437863.74,437606.14,738.513,1256
182,440181.93,439922.42,741.979,1266
183,442324.19,442062.60,745.162,1274
184,444325.30,444061.48,748.117,1278
185,446223.41,445957.82,750.902,1286
186,448055.77,447789.22,753.579,1288
187,449851.21,449584.03,756.191,1291
188,451635.53,451367.54,758.778,1295
189,453429.72,453159.62,761.370,1300
190,455256.07,454984.32,763.997,1302
191,457142.86,456870.97,766.698,1306
192,459123.66,458849.69,769.517,1313
193,461233.60,460956.82,772.502,1318
