hour,plan_spend,fact_spend,plan_kpi,fact_kpi
0,1980.80,1973.27,3.405,4
1,4090.75,4366.44,6.987,11
2,6363.14,7058.22,10.804,25
3,8822.30,10052.74,14.904,32
4,11476.96,13272.00,19.328,43
5,14316.32,16641.39,24.090,55
6,17309.71,19840.90,29.180,65
7,20409.49,22990.10,34.552,79
8,23555.96,25968.52,40.126,84
9,26683.27,28793.34,45.788,95
10,29726.20,31426.40,51.401,107
11,32627.76,33940.67,56.826,112
12,35346.81,36278.23,61.945,119
13,37863.74,38516.60,66.685,122
14,40181.93,40613.20,71.026,132
15,42324.19,42610.02,74.999,140
16,44325.30,44513.09,78.666,143
17,46223.41,46357.53,82.108,149
18,48055.77,48161.40,85.400,161
19,49851.21,49951.67,88.604,167
20,51635.53,51750.60,91.771,172
21,53429.72,53590.90,94.938,181
22,55256.07,55499.64,98.141,188
23,57142.86,57524.69,101.420,192
24,59123.66,59702.41,104.825,197
25,61233.60,62081.75,108.407,203
26,63506.00,64671.62,112.224,207
27,65965.16,67470.68,116.324,210
28,68619.82,70454.56,120.748,223
29,71459.18,73549.36,125.510,231
30,74452.57,76701.37,130.600,246
31,77552.35,79823.01,135.972,258
32,80698.81,82863.24,141.546,263
33,83826.13,85783.97,147.208,271
34,86869.06,88556.70,152.821,280
35,89770.61,91178.89,158.246,298
36,92489.67,93670.46,163.365,309
37,95006.60,96019.23,168.105,315
38,97324.79,98205.39,172.446,322
39,99467.05,100265.81,176.419,327
40,101468.16,102211.99,180.086,335
41,103366.27,104075.78,183.528,345
42,105198.63,105896.09,186.820,351
43,106994.07,107691.35,190.024,355
44,108778.39,109488.11,193.191,357
45,110572.58,111315.48,196.358,360
46,112398.92,113208.38,199.561,368
47,114285.71,115204.22,202.840,372
48,116266.52,117347.55,206.245,384
49,118376.46,119674.41,209.827,390
50,120648.85,122194.98,213.643,394
51,123108.01,124918.56,217.744,403
52,125762.68,127820.85,222.168,419
53,128602.04,130834.62,226.930,430
54,131595.42,133902.00,232.020,439
55,134695.20,136962.28,237.392,446
56,137841.67,139963.38,242.966,459
57,140968.98,142868.79,248.628,472
58,144011.91,145677.42,254.241,488
59,146913.47,148363.02,259.666,505
60,149632.52,150920.00,264.785,517
61,152149.45,153292.23,269.525,527
62,154467.65,155505.66,273.866,533
63,156609.91,157585.60,277.838,545
64,158611.02,159546.92,281.506,556
65,160509.12,161420.63,284.948,561
66,162341.49,163242.02,288.240,570
67,164136.93,165036.90,291.444,574
68,165921.25,166834.22,294.611,589
69,167715.43,168658.37,297.778,595
70,169541.78,170542.31,300.981,599
71,171428.57,172524.53,304.260,613
72,173409.37,174647.62,307.664,624
73,175519.32,176948.78,311.247,636
74,177791.71,179440.93,315.063,645
75,180250.87,182118.31,319.164,653
76,182905.53,184977.26,323.587,660
77,185744.89,187958.00,328.350,672
78,188738.28,191010.38,333.439,681
79,191838.06,194061.86,338.812,690
80,194984.53,197067.36,344.386,704
81,198111.84,199990.55,350.048,716
82,201154.77,202811.03,355.661,731
83,204056.33,205498.30,361.086,744
84,206775.38,208035.38,366.205,753
85,209292.31,210433.98,370.945,761
86,211610.50,212670.68,375.286,769
87,213752.76,214761.61,379.258,779
88,215753.87,216729.35,382.926,796
89,217651.98,218603.61,386.368,804
90,219484.34,220427.68,389.653,810
91,221279.78,222224.62,392.845,814
92,223064.10,224018.98,395.994,818
93,224858.29,225839.83,399.138,829
94,226684.64,227717.46,402.311,834
95,228571.43,229689.60,405.556,841
96,230552.23,231790.70,408.920,845
97,232662.17,234057.20,412.456,849
98,234934.57,236512.84,416.218,862
99,237393.73,239163.33,420.257,865
100,240048.39,241976.51,424.606,877
101,242887.75,244926.05,429.278,890
102,245881.14,247948.55,434.258,899
103,248980.92,250988.42,439.495,905
104,252127.39,253996.49,444.904,922
105,255254.70,256942.66,450.369,943
106,258297.63,259801.03,455.757,959
107,261199.19,262535.75,460.936,969
108,263918.24,265121.18,465.798,982
