hour,plan_spend,fact_spend,plan_kpi,fact_kpi
0,2554.85,2552.98,8.044,6
1,5460.36,5458.36,17.108,13
2,8559.28,8556.28,26.767,29
3,11594.03,11589.88,36.274,37
4,14451.44,14445.52,45.331,45
5,17101.73,17095.25,53.853,58
6,19681.70,19672.65,62.262,64
7,22243.01,22231.32,70.713,76
8,24868.10,24855.84,79.422,82
9,27481.26,27466.99,88.124,90
10,30097.31,30081.65,96.815,102
11,32613.52,32596.59,105.178,106
12,35024.81,35006.57,113.129,113
13,37352.35,37332.02,120.754,117
14,39517.41,39495.83,127.810,127
15,41580.10,41557.42,134.514,135
16,43584.29,43560.35,140.991,139
17,45492.34,45468.32,147.159,145
18,47366.09,47340.20,153.208,158
19,49230.80,49203.29,159.235,164
20,51082.10,51052.31,165.222,169
21,52955.28,52923.52,171.287,178
22,54939.75,54907.57,177.658,185
23,57142.86,57109.23,184.670,191
24,59697.71,59662.31,192.714,196
25,62603.21,62564.73,201.777,204
26,65702.14,65660.64,211.437,208
27,68736.89,68692.43,220.944,211
28,71594.30,71547.01,230.001,223
29,74244.59,74194.79,238.523,229
30,76824.56,76772.18,246.932,243
31,79385.87,79331.23,255.383,253
32,82010.96,81954.75,264.092,258
33,84624.12,84567.76,272.793,265
34,87240.17,87182.14,281.485,274
35,89756.37,89697.19,289.848,290
36,92167.67,92107.12,297.799,300
37,94495.20,94432.98,305.424,304
38,96660.26,96596.59,312.480,309
39,98722.96,98657.35,319.184,314
40,100727.15,100661.27,325.661,322
41,102635.20,102568.62,331.829,332
42,104508.94,104441.53,337.878,339
43,106373.65,106304.13,343.905,342
44,108224.95,108154.01,349.892,346
45,110098.14,110025.68,355.957,348
46,112082.61,112007.21,362.328,356
47,114285.71,114209.48,369.340,360
48,116840.56,116763.30,377.384,372
49,119746.07,119667.27,386.447,378
50,122844.99,122765.44,396.107,383
51,125879.74,125799.96,405.614,392
52,128737.16,128655.87,414.671,406
53,131387.45,131305.21,423.192,417
54,133967.42,133882.75,431.602,424
55,136528.72,136441.71,440.053,430
56,139153.82,139066.68,448.762,441
57,141766.97,141679.58,457.463,452
58,144383.03,144293.65,466.155,466
59,146899.23,146808.78,474.518,481
60,149310.53,149219.28,482.468,492
61,151638.06,151545.78,490.093,499
62,153803.12,153710.02,497.150,506
63,155865.82,155772.57,503.854,519
64,157870.01,157775.53,510.331,528
65,159778.06,159682.28,516.498,533
66,161651.80,161553.62,522.548,543
67,163516.51,163417.18,528.575,548
68,165367.81,165267.02,534.561,561
69,167240.99,167138.98,540.626,567
70,169225.46,169121.56,546.998,571
71,171428.57,171322.22,554.010,585
72,173983.42,173875.29,562.053,597
73,176888.93,176780.46,571.117,610
74,179987.85,179879.09,580.777,621
75,183022.60,182911.22,590.284,630
76,185880.02,185767.95,599.341,638
77,188530.30,188418.01,607.862,648
78,191110.27,190995.88,616.272,654
79,193671.58,193555.08,624.723,661
80,196296.68,196178.97,633.432,672
81,198909.83,198789.66,642.133,684
82,201525.89,201404.83,650.825,699
83,204042.09,203919.70,659.188,709
84,206453.39,206329.06,667.138,720
85,208780.92,208655.92,674.763,728
86,210945.98,210819.78,681.820,735
87,213008.68,212881.60,688.524,745
88,215012.86,214884.27,695.001,760
89,216920.91,216790.76,701.168,767
90,218794.66,218664.15,707.218,774
91,220659.37,220527.73,713.245,778
92,222510.67,222376.70,719.231,782
93,224383.85,224248.08,725.296,792
94,226368.32,226232.14,731.668,797
95,228571.43,228434.69,738.679,805
96,231126.28,230988.85,746.723,811
97,234031.79,233892.25,755.787,817
98,237130.71,236989.62,765.447,831
99,240165.46,240022.81,774.953,835
100,243022.87,242878.26,784.011,846
101,245673.16,245526.55,792.532,858
102,248253.13,248104.32,800.939,864
103,250814.44,250663.14,809.367,869
104,253439.53,253285.80,818.030,885
105,256052.69,255897.72,826.659,902
106,258668.74,258512.77,835.254,917
107,261184.94,261026.61,843.502,925
108,263596.24,263437.14,851.326,934
109,265923.77,265763.81,858.818,945
110,268088.84,267928.25,865.741,953
111,270151.53,269990.25,872.312,961
112,272155.72,271993.14,878.656,969
113,274063.77,273899.86,884.688,977
114,275937.52,275773.19,890.600,981
115,277802.23,277635.78,896.483,987
116,279653.53,279484.64,902.319,992
117,281526.71,281356.29,908.225,998
118,283511.18,283339.80,914.433,1008
119,285714.29,285541.77,921.273,1013
120,288269.13,288094.25,929.134,1019
121,291174.64,290997.03,938.006,1027
122,294273.57,294095.55,947.457,1037
123,297308.32,297129.99,956.730,1045
124,300165.73,299986.27,965.523,1057
125,302816.02,302636.22,973.743,1062
126,305395.99,305214.12,981.804,1071
127,307957.29,307773.49,989.851,1082
128,310582.39,310398.26,998.108,1093
129,313195.54,313010.95,1006.324,1097
130,315811.60,315626.14,1014.512,1110
